original,result
0110000101100001,fail
0010010011000010,ok
0100100000100100,ok
0001000100010011,fail
0010010111000011,fail
1110110110011111,fail
0100110000100111,ok
0101001100111001,ok
0100011110111001,ok
0101011111110000,ok
1110101010010101,fail
0111110100011100,ok
1110111101100001,fail
0001111000011101,ok
0001000100001111,ok
0010001111001110,fail
0111001101101011,ok
0101110000110111,ok
0100011011010011,fail
1000001101111111,ok
1111110101100010,ok
0001010101001000,fail
0010011101000101,fail
1101111101010111,ok
1010101011001010,fail
0101111000111001,ok
0001110100010010,fail
0010011011000100,ok
0001010100101010,fail
1011001010011101,fail
1111101011010110,fail
0100111000101000,fail
0100100001110000,fail
0100110001110010,fail
0000000100001000,fail
0001001100001011,ok
0110000000111100,fail
0010010010110001,fail
0011001011100101,ok
0101000101110100,ok
0110100100111110,fail
0001000001101101,fail
0010111000010010,ok
0010111110110011,ok
0000100110011000,fail
0101101111001111,fail
0011100100111110,ok
1110101010110001,ok
1100101010000001,fail
0010011101100011,ok
1111110111010110,fail
1011011101111000,fail
1111011111111101,ok
0111001100100111,ok
1111000011110000,fail
0001010100000111,fail
0010101010101101,fail
1101011110010011,ok
0101111011101111,fail
0100010111100000,fail
1010111000101111,ok
1100000101100011,ok
1110101001011111,ok
0001000100001100,fail
1001000001001110,ok
1001111001001011,fail
1000011100110001,fail
0100111011011010,ok
0001100100101011,fail
0101000000101010,fail
1110110010011100,ok
0011000011010111,fail
0110110000111100,fail
1100011010001101,fail
1100011100000001,fail
0011000010110001,ok
1110011010010010,ok
1110110000000110,ok
0011100110001000,fail
0010011011101100,ok
0101100000110010,ok
1111000110011000,ok
0000110001011110,fail
1001000111101100,fail
1110001001010001,ok
1011101010101101,ok
1101101100100001,fail
1111100110011100,ok
0000101000010000,ok
0101011011011110,fail
1010101110001101,ok
1001101111101001,ok
0101111100111001,fail
1000101101111000,ok
1001010010000000,ok
1000100011110011,fail
1001000110111000,fail
1101101000110110,fail
1001100101111110,fail
1110100001100100,ok
1101101111011101,fail
1111001100111001,fail
0000010101110000,ok
0010001100011011,fail
1011000110001110,fail
1001100011110111,ok
0000110010101100,ok
1001101001111100,fail
1110010101100010,ok
0010001100010100,fail
0010011111000101,ok
0100111000100111,ok
1110001010010100,ok
1110101000001000,ok
0111000000101001,ok
0011100111010101,fail
0100011111100011,fail
1001111001010111,fail
1010010001010001,ok
0101101111101101,fail
0101000100101010,ok
1101010011110011,fail
0001001110110010,fail
0101000001101001,fail
1000111001001111,ok
0101110000011101,ok
1110100000000011,fail
0101000111000010,fail
0100111011101000,ok
0100111110110010,fail
0101111011000001,fail
1000100100101000,ok
1110111010011101,ok
0011100000101100,fail
1010100101001101,ok
0100011101101000,ok
0111100001111101,ok
0011111000111101,fail
1010001110001101,ok
1100010000100011,fail
1110110101010111,fail
0001000101000011,ok
1100011110110110,fail
0000001000001011,fail
0100100011111101,fail
1101010111101011,fail
1101101011101001,fail
1111100010000110,fail
1111001011111001,fail
1001111011001010,fail
1101110000111110,ok
0000100000010001,ok
1100011101001111,fail
1111000011111100,fail
0111100000100110,ok
0001110000011010,ok
0111111111100011,fail
1111001101100001,fail
0111010101110001,ok
0110000000111001,ok
0000011010100101,ok
0010011000011100,ok
1011010110001111,ok
0101000111010100,ok
1000101000111001,fail
1101101110001010,fail
1001100101001000,ok
0110011110101110,fail
1000100100100010,ok
1101000111010001,ok
0001011101000101,fail
1000110111101100,ok
1010000110001000,ok
1100001111001010,ok
0010011010000000,fail
0001101011110011,ok
0000000100111101,ok
1011000110110000,fail
1010100110100100,fail
1000000001101110,fail
1010000001111110,fail
1000001111100010,fail
1010010111111010,ok
0001010001101110,ok
0001101001110100,fail
1010111101001101,fail
1011110101001010,ok
1000101001110110,fail
0010100011000110,fail
0111100001110000,fail
1010100010110110,ok
0010100111000111,ok
0100101101101011,fail
0010101011011110,ok
0100110101101011,ok
0101001100110101,fail
0001000010101010,ok
0010110011011110,ok
0001101110101000,ok
0010100000001101,fail
0011011100011100,fail
1100010110001010,fail
0111100101110100,fail
0011011000001010,ok
1100000010001000,fail
0110110101101001,fail
0111011001101000,fail
0100110111010110,fail
0001101100010100,ok
1100000011001111,ok
1110110100110111,ok
0010101011001000,ok
1110100100000010,fail
0100100111101001,fail
0101100000101110,ok
1110101010010010,ok
0110111101000010,fail
0110111001111001,fail
0101100001100010,ok
0000011000010001,fail
1000101010000100,fail
1111100110100001,fail
0011010110101010,ok
1100101000110100,ok
0000010100001000,ok
0110001000111000,fail
0000110000000110,ok
0111011001101010,ok
0101101110111011,fail
1000101000101111,fail
1000010101111001,ok
1010110100010100,fail
1001110110101011,fail
0010101111001001,ok
1101111111110100,ok
0010110011001010,fail
0101101100101111,ok
1111110110100010,fail
0110010000111000,fail
0000010000000010,fail
0001000010101011,ok
0110100100111101,fail
1011101101001111,ok
0110011011011100,ok
1000111011100110,ok
1110100001011010,ok
1110010101001111,fail
1100011100000100,fail
0011111101110111,fail
0010110111001011,ok
0010111011001100,ok
0101110000101110,ok
0010111111001101,ok
0101111000101111,fail
0000010111000001,ok
1111101110011101,fail
0000111100001111,ok
0111111001101111,ok
0010010111001010,fail
0110101001111001,ok
0111100101111100,ok
0101011111011101,ok
0001100000010011,fail
1001111010000110,fail
1101000010110000,ok
0110011111100100,ok
0010001000011010,ok
1010111110001101,ok
0000111010101011,fail
0111001110110111,fail
1010000100011101,ok
1000011001110000,fail
0011110011010000,ok
0101101011010111,ok
1011110111001010,ok
1111101100111110,fail
0110011000110111,fail
0000101100001100,ok
0000000100000000,fail
0000111000001011,fail
0001001000001101,ok
0111110111000010,fail
0001000100001000,ok
0010011100010011,ok
0110100100111010,ok
0000100100000100,ok
0000111100001010,ok
0100110111010000,fail
0001011100001110,fail
1000011111110010,ok
1001100000111100,ok
1000001101101101,fail
0110011010101100,ok
1010001100101010,fail
0011010000100001,fail
1011010110111001,ok
1010010111101010,ok
0001100001100000,ok
1100100010010100,ok
0011011000100011,ok
1100010110010010,ok
0010100100010001,fail
0010101100010011,ok
0001111010110001,fail
0001110000001000,fail
1010101011011110,ok
1010011001111011,fail
0110110011100100,ok
