original,result,corrected
110111010001,ok,
110011010001011100001,ok,
10001101000101100000101100001,fail,10001101000101100000101100001
0000110000010110000010111001001010111101101110,ok,
010011010001011100010,fail,010010010011111100010
0000110100010110000100110000101010111001100100011011110110111001110010101100100,fail,0000110100010110000100110000101010111001100100011011110110111001110010101100100
00011100000101110001001100011,fail,00011100000101110001001100011
11001100000101100001001100101010110010011001000110010101100101011101110,fail,11001100000101100001001100101010110010011001000110010101100101011101110
0001110000010110000100110100101110110001101001011101000110100101110010101110011,ok,
01011100000101110001001101001010101100011010010111010001111001,ok,
00001101000101100001001101100011100101,ok,
000011000001011100010011011110101100100110100101100111011010010011011100110000101101100,fail,000011000001011100010011011110101100100110100101100111011010010011011100110000101101100
01011101000101100001001101111011110010011101000110100101101111011101110,ok,
0001110100010110000100110111101011010101110100,fail,0001110100010110000100110111101011010101110100
1100110100010110000100110111101011011001100101,ok,
10011101000101100001001110010011100001011010000110000101101101,fail,10011101000101100001001110010011100001011010000110000101101101
000011000001011100010011100100111011110110000101100100,fail,000011000001011100010011100100111011110110000101100100
10011101000101100001001110011,fail,10011101000101100001001110011
11001101000101110001001110011010100101011011100110001101100101,ok,
100111010001011100010011100110101001010110111001110100,ok,
01011100000101100001001110011010101111011011000111010101110100001100101,ok,
110111000001011100010011100110101011110110110001110101011101000111001010110110001111001,fail,1101110000010111000100111001101010011101101100011101010111010001110010101101110011110010
010011000001011100010011100110101011110111001001110000011101000111010010110111101101110,fail,010011000001011100010011100110101011110111001001110000011101000111010010110111101101110
11001100000101100001001110011010110100011100100110000101100011001110100,ok,
0100110100010110000100111001101011010001110010011000010110001101111010001110011,fail,0100110100010110000100111001101011010001110010011000010110001101111010001110011
01001101000101100001001110101,fail,01001101000101100001001110101
0101110000010111000100111010101011001101100101,fail,0101110000010111000100111010101011001101100101
110111010001011000011,ok,
01001100000101110001101100001011100100011001010110110101101001001100011,fail,01001100000101110001101100001011100100011001010110110101101001001100011
1100110100010111000110110000101110010001100101011011010110100101110001101110011,fail,1100110100010111000110110000101110010001100101011011010110100101110001101110011
01001101000101100001101100001010100100011001010110110101111001,ok,
10001100000101100001101100011,ok,
100011000001011100011011000110101001010110111001110100,ok,
100011000001011100011011000110101001010111000001110100,ok,
000011010001011000011011000110111001010111000001110100011000010111000100110110001100101,fail,000011010001011000011011100110111001011111000001110100011000000111000100110110001100101
100011010001011000011011000110111001010111000001110100011000010111011100110001101100101,fail,100011010001011000011011000110111001010111000001110100011000010111011100110001101100101
00011100000101110001101100011010100101011100000111010001100101011100100,fail,00011100000101110001101100011010100101011100000111010001100101011100100
0101110100010111000110110001101010010101110000011101000110100100110111001100111,ok,
10001101000101100001101100011011100101011100000111010001110011,ok,
100111000001011000011011000110111001010111001101110011,fail,100111000001011000011011000110111001010111001101110011
00001100000101100001101100011011100101011100110111001101100101011100100,fail,00001100000101100001101100011011100101011100110111001101100101011100100
000011010001011000011011000110101001010111001101110011011010010011000100110100101101100011010010111010001111001,fail,000011010001011000011011000110101011110111001101110011011010010011000100110100101101100010000010111010001111001
110111000001011000011011000110111001010111001101110011011010010111000100110110001100101,fail,110111000001011000011011000110111001010111001101110011011010010111000100110110001100101
0100110100010110000110110001101110010101110011011100110110100100110111001100111,ok,
01011101000101110001101100011011100101011100110111001101101111011110010011010010110010101110011,ok,
1001110100010110000110110001101110010101110011011100110110111101111001001111001,fail,1011110100010110000110110001101110010101110011001110110110111101111001001111001
01001101000101100001101100011011101001011001000110010101101110001110100,fail,01001101000111100001101100011011101001011001000111010101101110101110100
1100110000010110000110110001101110100101100100011001010110111001111010001110011,fail,1100110000010110000110110001101110100101100100011001010110111001111010001110011
00001101000101100001101100011011101111011011010110110101101111001100100011000010111010001100101,fail,00001101000101110001101100011011101111011011010110110101101111000100100011000010011010001100101
010111000001011000011011000110101011110110110101101101011011110111001000110000101110100011010010110111101101110,ok,
11011100000101110001101100011011101111011011010110110101101111001100100011000010111010001101001011011110110111001110011,fail,11011100000101110001001100011011101101011011010110110101101111001100100011000010111010101101001011011100110111001110011
00011100000101100001101100011010101111011011010111000001100001001101110011010010110010101100100,fail,00011100000101100001101100011010101111011011110111010001100001001101110011010000110011101100100
